Data Series Information,,,,,,,,
Name:,,,Rheo. Char. - HFC - PAC2 - w/ pre-shearing 1,,,,,
Sample:,,,PAC2 (dist. H2O + 2g/L PAC),,,,,
Operator:,,,Alex,,,,,
Remarks:,,,"Bergen, change sample for each measurement",,,,,
Number of Intervals:,,,4,,,,,
Application:,,,RHEOPLUS/32 V3.61 21006089-33024,,,,,
Device:,,,"MCR102 SN81115860; FW3.86; Slot(4,-1); Adj(68,0)d",,,,,
Measuring Date/Time:,,,08-Jul-15; 09:19 PM,,,,,
Measuring System:,,,CC27-SN26350; d=0 mm,,,,,
Accessories:,,,TU1=C-PTD200-SN81077144,,,,,
,,,,,,,,
Calculating Constants:,,,,,,,,
- Csr [min/s]:,,,1.2789756,,,,,
- Css [Pa/mNm]:,,,18.841121,,,,,
- Start Delay Time [s]:,,,7.391,,,,,
- Substance Density [rho]:,,,"1,000",,,,,
- Measurement Type:,,,2,,,,,
- Axial Compliance [m/N]:,,,1.00E-06,,,,,
- Position [m]:,,,1.00E-06,,,,,
,,,,,,,,
Interval:,,,2,,,,,
Number of Data Points:,,,50,,,,,
,,,,,,,,
Time Setting:,,,50 Meas. Pts.,,,,,
,,,Meas. Pt. Duration 5 s,,,,,
Measuring Profile:,,,,,,,,
  Shear Rate,,,"d(gamma)/dt = 0.01 ... 1,200 1/s log",,,,,
,,,,,,,,
Meas. Pts.,Time,Shear Stress,Shear Rate,Viscosity,Speed,Torque,Status,Temperature
,[s],[Pa],[1/s],[Pa·s],[1/min],[µNm],[],[°C]
1,605,0.00163,0.01,0.163,0.00782,0.0867,Dy_accu,21.001
2,610,0.00195,0.0127,0.153,0.00993,0.103,Dy_accu,20.998
3,615,0.00252,0.0161,0.156,0.0126,0.134,Dy_accu,20.997
4,620,0.00332,0.0205,0.162,0.016,0.176,Dy_accu,20.994
5,625,0.00422,0.026,0.163,0.0203,0.224,Dy_accu,20.993
6,630,0.00549,0.033,0.167,0.0258,0.292,Dy_accu,20.993
7,635,0.00693,0.0419,0.166,0.0327,0.368,Dy_accu,20.996
8,640,0.00884,0.0532,0.166,0.0416,0.469,Dy_accu,20.999
9,645,0.0111,0.0675,0.164,0.0528,0.587,Dy_accu,21.002
10,650,0.0138,0.0857,0.161,0.067,0.733,Dy_accu,21.003
11,655,0.0174,0.109,0.16,0.0851,0.925,Dy_accu,21.002
12,660,0.0224,0.138,0.162,0.108,1.19,Dy_accu,21.002
13,665,0.0286,0.175,0.163,0.137,1.52,Dy_accu,21.001
14,670,0.0366,0.223,0.165,0.174,1.95,Dy_accu,20.997
15,675,0.0462,0.283,0.164,0.221,2.45,Dy_accu,20.995
16,680,0.0577,0.359,0.161,0.281,3.06,Dy_accu,20.994
17,685,0.0723,0.456,0.159,0.356,3.84,Dy_accu,20.994
18,690,0.0908,0.578,0.157,0.452,4.82,Dy_accu,20.997
19,695,0.113,0.734,0.154,0.574,6,Dy_accu,21
20,700,0.141,0.932,0.152,0.729,7.5,Dy_accu,21.003
21,705,0.176,1.18,0.149,0.925,9.35,Dy_accu,21.005
22,710,0.219,1.5,0.146,1.17,11.6,Dy_accu,21.005
23,715,0.271,1.91,0.142,1.49,14.4,Dy_accu,21.004
24,720,0.336,2.42,0.139,1.89,17.8,Dy_accu,21.003
25,725,0.418,3.07,0.136,2.4,22.2,Dy_accu,21.001
26,730,0.519,3.9,0.133,3.05,27.5,Dy_accu,20.999
27,735,0.641,4.96,0.129,3.87,34,Dy_accu,20.997
28,740,0.788,6.29,0.125,4.92,41.8,Dy_accu,20.996
29,745,0.968,7.99,0.121,6.24,51.4,Dy_accu,20.995
30,750,1.18,10.1,0.116,7.93,62.6,Dy_accu,20.995
31,755,1.44,12.9,0.112,10.1,76.2,Dy_accu,20.998
32,760,1.74,16.3,0.106,12.8,92.2,Dy_accu,21.002
33,765,2.09,20.7,0.101,16.2,111,Dy_accu,21.006
34,770,2.51,26.3,0.0953,20.6,133,Dy_accu,21.006
35,775,3,33.4,0.0896,26.1,159,Dy_accu,21.005
36,780,3.57,42.5,0.084,33.2,189,Dy_accu,21.004
37,785,4.21,53.9,0.0782,42.1,224,Dy_accu,21.002
38,790,4.94,68.4,0.0721,53.5,262,Dy_accu,21
39,795,5.73,86.9,0.0659,67.9,304,Dy_accu,20.998
40,800,6.63,110,0.0601,86.2,352,Dy_accu,20.996
41,805,7.74,140,0.0552,109,411,Dy_accu,20.994
42,810,9.12,178,0.0513,139,484,Dy_accu,20.995
43,815,10.8,226,0.0477,176,571,Dy_accu,20.996
44,820,12.3,287,0.0429,224,652,Dy_accu,21
45,825,14.2,364,0.0389,284,752,Dy_accu,21.005
46,830,16.4,462,0.0355,361,871,Dy_accu,21.005
47,835,19.1,586,0.0325,459,"1,010",Dy_accu,21.006
48,840,22.2,745,0.0298,582,"1,180",Dy_accu,21.006
49,845,25.8,945,0.0273,739,"1,370",Dy_accu,21.003
50,850,30.1,1200,0.025,938,"1,600",Dy_accu,21.002
,,,,,,,,
Interval:,,,3,,,,,
Number of Data Points:,,,10,,,,,
,,,,,,,,
Time Setting:,,,"10 Meas. Pts., Reset Strain",,,,,
,,,Meas. Pt. Duration 1 s,,,,,
Measuring Profile:,,,,,,,,
  Shear Rate,,,"d(gamma)/dt = 1,200 1/s",,,,,
,,,,,,,,
Meas. Pts.,Time,Shear Stress,Shear Rate,Viscosity,Speed,Torque,Status,Temperature
,[s],[Pa],[1/s],[Pa·s],[1/min],[µNm],[],[°C]
1,851,30.1,1200,0.0251,938,"1,600",Dy_accu,21.001
2,852,30.1,1200,0.0251,938,"1,600",Dy_accu,21.001
3,853,30.1,1200,0.0251,938,"1,600",Dy_accu,21.002
4,854,30,1200,0.025,938,"1,590",Dy_accu,21.001
5,855,30,1200,0.025,938,"1,590",Dy_accu,21
6,856,30.1,1200,0.025,938,"1,600",Dy_accu,21.001
7,857,30,1200,0.025,938,"1,590",Dy_accu,20.999
8,858,30,1200,0.025,938,"1,590",Dy_accu,20.999
9,859,30,1200,0.025,938,"1,590",Dy_accu,20.999
10,860,29.9,1200,0.0249,938,"1,590",Dy_accu,21
,,,,,,,,
Interval:,,,4,,,,,
Number of Data Points:,,,50,,,,,
,,,,,,,,
Time Setting:,,,50 Meas. Pts.,,,,,
,,,Meas. Pt. Duration 5 s,,,,,
