Data Series Information,,,,,,,,
Name:,,,Rheo. Char. - HFC - PAC8 - w/o pre-shearing 2,,,,,
Sample:,,,PAC8 (dist. H2O + 8g/L PAC),,,,,
Operator:,,,Alex,,,,,
Remarks:,,,"Bergen, change sample for each measurement",,,,,
Number of Intervals:,,,3,,,,,
Application:,,,RHEOPLUS/32 V3.61 21006089-33024,,,,,
Device:,,,"MCR102 SN81115860; FW3.86; Slot(4,-1); Adj(68,0)d",,,,,
Measuring Date/Time:,,,08-Jul-15; 08:18 PM,,,,,
Measuring System:,,,CC27-SN26350; d=0 mm,,,,,
Accessories:,,,TU1=C-PTD200-SN81077144,,,,,
,,,,,,,,
Calculating Constants:,,,,,,,,
- Csr [min/s]:,,,1.2789756,,,,,
- Css [Pa/mNm]:,,,18.841121,,,,,
- Start Delay Time [s]:,,,7.357,,,,,
- Substance Density [rho]:,,,1000,,,,,
- Measurement Type:,,,2,,,,,
- Axial Compliance [m/N]:,,,1.00E-06,,,,,
- Position [m]:,,,1.00E-06,,,,,
,,,,,,,,
Interval:,,,1,,,,,
Number of Data Points:,,,50,,,,,
,,,,,,,,
Time Setting:,,,50 Meas. Pts.,,,,,
,,,Meas. Pt. Duration 5 s,,,,,
Measuring Profile:,,,,,,,,
  Shear Rate,,,"d(gamma)/dt = 0.01 ... 1,200 1/s log",,,,,
,,,,,,,,
Meas. Pts.,Time,Shear Stress,Shear Rate,Viscosity,Speed,Torque,Status,Temperature
,[s],[Pa],[1/s],[Pa·s],[1/min],[µNm],[],[°C]
1,5,0.0104,0.00999,1.04,0.00781,0.554,Dy_accu,21.003
2,10,0.0141,0.0127,1.11,0.00992,0.749,Dy_accu,21.008
3,15,0.018,0.0161,1.12,0.0126,0.957,Dy_accu,21.012
4,20,0.023,0.0205,1.12,0.016,1.22,Dy_accu,21.015
5,25,0.0295,0.026,1.13,0.0203,1.56,Dy_accu,21.015
6,30,0.0372,0.033,1.13,0.0258,1.97,Dy_accu,21.013
7,35,0.0473,0.0419,1.13,0.0327,2.51,Dy_accu,21.01
8,40,0.0602,0.0531,1.13,0.0415,3.19,Dy_accu,21.006
9,45,0.0763,0.0675,1.13,0.0528,4.05,Dy_accu,21.001
10,50,0.0965,0.0857,1.13,0.067,5.12,Dy_accu,20.997
11,55,0.122,0.109,1.12,0.085,6.47,Dy_accu,20.993
12,60,0.154,0.138,1.11,0.108,8.17,Dy_accu,20.993
13,65,0.193,0.175,1.1,0.137,10.2,Dy_accu,20.995
14,70,0.241,0.223,1.08,0.174,12.8,Dy_accu,20.998
15,75,0.3,0.283,1.06,0.221,15.9,Dy_accu,21.002
16,80,0.373,0.359,1.04,0.281,19.8,Dy_accu,21.007
17,85,0.465,0.455,1.02,0.356,24.7,Dy_accu,21.009
18,90,0.579,0.578,1,0.452,30.7,Dy_accu,21.011
19,95,0.719,0.734,0.979,0.574,38.2,Dy_accu,21.008
20,100,0.89,0.932,0.955,0.729,47.2,Dy_accu,21.006
21,105,1.09,1.18,0.924,0.925,58,Dy_accu,21.002
22,110,1.35,1.5,0.899,1.17,71.7,Dy_accu,20.996
23,115,1.65,1.91,0.865,1.49,87.5,Dy_accu,20.993
24,120,2,2.42,0.827,1.89,106,Dy_accu,20.992
25,125,2.42,3.07,0.789,2.4,129,Dy_accu,20.993
26,130,2.92,3.9,0.747,3.05,155,Dy_accu,20.995
27,135,3.49,4.96,0.705,3.87,185,Dy_accu,20.999
28,140,4.16,6.29,0.662,4.92,221,Dy_accu,21.002
29,145,4.94,7.99,0.618,6.24,262,Dy_accu,21.007
30,150,5.82,10.1,0.574,7.93,309,Dy_accu,21.01
31,155,6.83,12.9,0.53,10.1,362,Dy_accu,21.009
32,160,7.97,16.3,0.488,12.8,423,Dy_accu,21.007
33,165,9.25,20.7,0.446,16.2,491,Dy_accu,21.002
34,170,10.7,26.3,0.405,20.6,566,Dy_accu,20.998
35,175,12.2,33.4,0.366,26.2,650,Dy_accu,20.994
36,180,14,42.5,0.329,33.2,742,Dy_accu,20.992
37,185,15.9,53.9,0.295,42.1,845,Dy_accu,20.993
38,190,18,68.4,0.264,53.5,958,Dy_accu,20.994
39,195,20.4,86.9,0.235,67.9,1080,Dy_accu,20.997
40,200,22.9,110,0.208,86.2,1220,Dy_accu,21
41,205,25.8,140,0.184,109,1370,Dy_accu,21.004
42,210,29.2,178,0.164,139,1550,Dy_accu,21.007
43,215,33.1,226,0.147,176,1760,Dy_accu,21.009
44,220,37.6,287,0.131,224,2000,Dy_accu,21.009
45,225,41.8,364,0.115,284,2220,Dy_accu,21.005
46,230,46.8,462,0.101,361,2480,Dy_accu,21.001
47,235,52.5,586,0.0895,459,2790,Dy_accu,20.997
48,240,59,744,0.0793,582,3130,Dy_accu,20.993
49,245,66.9,945,0.0707,739,3550,Dy_accu,20.994
50,250,75.9,1200,0.0633,938,4030,Dy_accu,20.997
,,,,,,,,
Interval:,,,2,,,,,
