Data Series Information,,,,,,,,
Name:,,,Scatter study - HFC - PAC4 2nd batch - 1,,,,,
Sample:,,,"Dist. H2O + 4 g/L PAC, 2nd batch",,,,,
Operator:,,,Alex,,,,,
Remarks:,,,Bergen,,,,,
Number of Intervals:,,,3,,,,,
Application:,,,RHEOPLUS/32 V3.61 21006089-33024,,,,,
Device:,,,"MCR102 SN81115860; FW3.86; Slot(4,-1); Adj(69,0)d",,,,,
Measuring Date/Time:,,,08/07/2015; 18:53 PM,,,,,
Measuring System:,,,CC27-SN26350; d=0 mm,,,,,
Accessories:,,,TU1=C-PTD200-SN81077144,,,,,
,,,,,,,,
Calculating Constants:,,,,,,,,
- Csr [min/s]:,,,12.789.756,,,,,
- Css [Pa/mNm]:,,,18.841.121,,,,,
- Start Delay Time [s]:,,,7.361,,,,,
- Substance Density [rho]:,,,1,,,,,
- Measurement Type:,,,2,,,,,
- Axial Compliance [m/N]:,,,1.00E-06,,,,,
- Position [m]:,,,1.00E-06,,,,,
,,,,,,,,
Interval:,,,1,,,,,
Number of Data Points:,,,50,,,,,
,,,,,,,,
Time Setting:,,,50 Meas. Pts.,,,,,
,,,Meas. Pt. Duration 5 s,,,,,
Measuring Profile:,,,,,,,,
  Shear Rate,,,"d(gamma)/dt = 0.01 ... 1,200 1/s log",,,,,
,,,,,,,,
Meas. Pts.,Time,Shear Stress,Shear Rate,Viscosity,Speed,Torque,Status,Temperature
,[s],[Pa],[1/s],[Pa·s],[1/min],[µNm],[],[°C]
1,5,0.000359,0.01,0.0359,0.00782,0.019,"M- ,Dy_",21
2,10,0.000741,0.0127,0.0583,0.00993,0.0393,"M- ,Dy_",20.997
3,15,0.00135,0.0161,0.0839,0.0126,0.0717,Dy_accu,20.993
4,20,0.0021,0.0205,0.102,0.016,0.111,Dy_accu,20.989
5,25,0.00311,0.026,0.12,0.0203,0.165,Dy_accu,20.986
6,30,0.0045,0.033,0.137,0.0258,0.239,Dy_accu,20.987
7,35,0.00632,0.0419,0.151,0.0327,0.335,Dy_accu,20.987
8,40,0.00831,0.0532,0.156,0.0416,0.441,Dy_accu,20.989
9,45,0.0109,0.0675,0.162,0.0528,0.58,Dy_accu,20.993
10,50,0.0144,0.0857,0.167,0.067,0.762,Dy_accu,20.995
11,55,0.0186,0.109,0.171,0.0851,0.987,Dy_accu,20.997
12,60,0.0239,0.138,0.173,0.108,1.27,Dy_accu,21
13,65,0.0302,0.175,0.172,0.137,1.6,Dy_accu,21.002
14,70,0.0381,0.223,0.171,0.174,2.02,Dy_accu,21.004
15,75,0.0481,0.283,0.17,0.221,2.55,Dy_accu,21.006
16,80,0.0601,0.359,0.168,0.281,3.19,Dy_accu,21.003
17,85,0.075,0.456,0.165,0.356,3.98,Dy_accu,21
18,90,0.0949,0.578,0.164,0.452,5.04,Dy_accu,20.995
19,95,0.12,0.734,0.164,0.574,6.38,Dy_accu,20.99
20,100,0.152,0.932,0.163,0.729,8.05,Dy_accu,20.99
21,105,0.191,1.18,0.161,0.925,10.1,Dy_accu,20.992
22,110,0.241,1.5,0.16,1.17,12.8,Dy_accu,20.993
23,115,0.303,1.91,0.159,1.49,16.1,Dy_accu,20.995
24,120,0.378,2.42,0.156,1.89,20.1,Dy_accu,20.998
25,125,0.471,3.07,0.153,2.4,25,Dy_accu,21
26,130,0.586,3.9,0.15,3.05,31.1,Dy_accu,21.001
27,135,0.727,4.96,0.147,3.87,38.6,Dy_accu,21.005
28,140,0.895,6.29,0.142,4.92,47.5,Dy_accu,21.006
29,145,1.1,7.99,0.137,6.24,58.3,Dy_accu,21.006
30,150,1.33,10.1,0.132,7.93,70.8,Dy_accu,21.006
31,155,1.62,12.9,0.125,10.1,85.7,Dy_accu,21.002
32,160,1.94,16.3,0.119,12.8,103,Dy_accu,20.997
33,165,2.33,20.7,0.112,16.2,123,Dy_accu,20.993
34,170,2.77,26.3,0.105,20.6,147,Dy_accu,20.99
35,175,3.28,33.4,0.098,26.1,174,Dy_accu,20.992
36,180,3.86,42.5,0.0909,33.2,205,Dy_accu,20.993
37,185,4.53,53.9,0.0839,42.1,240,Dy_accu,20.994
38,190,5.28,68.4,0.0772,53.5,280,Dy_accu,20.996
39,195,6.15,86.9,0.0707,67.9,326,Dy_accu,20.999
40,200,7.12,110,0.0645,86.2,378,Dy_accu,21.001
41,205,8.23,140,0.0587,109,437,Dy_accu,21.003
42,210,9.57,178,0.0538,139,508,Dy_accu,21.006
43,215,11.2,226,0.0495,176,593,Dy_accu,21.008
44,220,13,287,0.0454,224,691,Dy_accu,21.01
45,225,15,364,0.0413,284,797,Dy_accu,21.009
46,230,17.6,462,0.0381,361,935,Dy_accu,21.004
47,235,20.7,586,0.0352,459,1.1,Dy_accu,20.999
48,240,24.1,745,0.0324,582,1.28,Dy_accu,20.997
49,245,28,945,0.0296,739,1.49,Dy_accu,20.993
50,250,32.6,1200,0.0271,938,1.73,Dy_accu,20.995
,,,,,,,,
Interval:,,,2,,,,,
Number of Data Points:,,,10,,,,,
,,,,,,,,
Time Setting:,,,"10 Meas. Pts., Reset Strain",,,,,
,,,Meas. Pt. Duration 1 s,,,,,
Measuring Profile:,,,,,,,,
  Shear Rate,,,"d(gamma)/dt = 1,200 1/s",,,,,
,,,,,,,,
Meas. Pts.,Time,Shear Stress,Shear Rate,Viscosity,Speed,Torque,Status,Temperature
,[s],[Pa],[1/s],[Pa·s],[1/min],[µNm],[],[°C]
1,251,32.5,1200,0.0271,938,1.72,Dy_accu,20.996
2,252,32.4,1200,0.027,938,1.72,Dy_accu,20.996
3,253,32.4,1200,0.027,938,1.72,Dy_accu,20.996
4,254,32.5,1200,0.027,938,1.72,Dy_accu,20.998
5,255,32.5,1200,0.027,938,1.72,Dy_accu,20.998
6,256,32.4,1200,0.027,938,1.72,Dy_accu,20.999
7,257,32.3,1200,0.0269,938,1.71,Dy_accu,21.001
8,258,32.4,1200,0.027,938,1.72,Dy_accu,21
9,259,32.4,1200,0.027,938,1.72,Dy_accu,21.002
10,260,32.4,1200,0.027,938,1.72,Dy_accu,21.002
,,,,,,,,
Interval:,,,3,,,,,
Number of Data Points:,,,50,,,,,
,,,,,,,,
Time Setting:,,,50 Meas. Pts.,,,,,
,,,Meas. Pt. Duration 5 s,,,,,
Measuring Profile:,,,,,,,,
  Shear Rate,,,"d(gamma)/dt = 1,200 ... 0.01 1/s log",,,,,
,,,,,,,,
Meas. Pts.,Time,Shear Stress,Shear Rate,Viscosity,Speed,Torque,Status,Temperature
,[s],[Pa],[1/s],[Pa·s],[1/min],[µNm],[],[°C]
1,265,32.5,1200,0.0271,938,1.72,Dy_accu,21.004
2,270,27.6,945,0.0292,739,1.46,Dy_accu,21.008
3,275,23.8,745,0.032,582,1.26,Dy_accu,21.01
4,280,20.6,586,0.0351,459,1.09,Dy_accu,21.01
5,285,17.7,462,0.0384,361,941,Dy_accu,21.005
6,290,15.3,364,0.042,284,811,Dy_accu,21.001
7,295,13.2,287,0.046,224,700,Dy_accu,20.994
8,300,11.3,226,0.0502,176,601,Dy_accu,20.989
9,305,9.69,178,0.0545,139,515,Dy_accu,20.988
10,310,8.24,140,0.0588,110,437,Dy_accu,20.988
11,315,6.97,110,0.0632,86.2,370,Dy_accu,20.99
12,320,5.88,86.9,0.0677,67.9,312,Dy_accu,20.992
13,325,4.95,68.4,0.0723,53.5,263,Dy_accu,20.994
